NAME_ONE,HAZARD_COD,BASIN_NAME,RIVER_STRE,DAM_HEIGHT,DAM_LENGTH,SURFACE_AR,YEARBUILT,longitude,latitude
Amenia Pond Dam,A,Lower Hudson,,8,100,0,0,-73.5355555556,41.8580555556
Rena-korella Dam,A,Lower Hudson,,16,0,1.03,1996,-73.6519444444,41.8730555556
47 Lindent Ct Dam,A,Lower Hudson,Tr-Millbrook,7,80,0,0,-73.6861111111,41.7833333333
North Division Street Dam,B,Chemung,Owasco River,32,110,4,1865,-76.5863888889,42.9330555556
J H Woodruff Dam,A,Chemung,Owasco Outlet,10,0,0,1900,-76.5791666667,42.9311111111
Mccarthy Dam,A,Chemung,Owasco Outlet,5,100,1,1914,-76.575,42.9333333333
Prison Dam,A,Chemung,Owasco Outlet,10,105,0,1910,-76.5752777778,42.9319444444
(064-0366),D,Oswego,Owasco Outlet,0,0,0,0,-76.5638888889,42.9322222222
Owasco Lake Outlet Dam,B,Oswego,Owasco Outlet,14,258,6400,1972,-76.5483333333,42.9197222222
Mud Lock C&S Canal Dam,C,Oswego,Seneca River,20,500,42240,1912,-76.7358333333,42.9475
Hoxie Dam,D,Chemung,Crane Brook,9,197,0,0,-76.5886111111,42.8536111111
Mill Dam,B,Chemung,Tr-Cayuga Lake,20,315,0,0,-76.6941666667,42.8447222222
Griffiths Dam,A,Chemung,Tr-Cayuga Lake,20,0,0,0,-76.6958333333,42.8413888889
Salmon Creek Sportsmen Club Dam,D,Oswego,Salmon Creek,0,750,0,1875,-76.5686111111,42.7569444444
Woods Mill Dam,D,Oswego,Owasco Lake Outlet,40,285,0,0,-76.6055555556,42.9966666667
Seneca Falls Water Supply Dam,D,Oswego,Sawyer Creek,0,0,0,0,-76.6233333333,42.8722222222
Stanley Kalet Pond Dam,A,Chemung,Tr-Crane Creek,6,0,15,1952,-76.6933333333,42.9716666667
Linehan-filkins Marsh Dam,D,Chemung,Tr-Cold Spring Brook,7,0,20,1955,-76.5833333333,42.8833333333
(064-2446),A,Oswego,,4,0,0,0,-76.6183333333,42.99
Frank Day Marsh Dam,A,Chemung,Tr-Owasco Outlet,5,0,23,1960,-76.6166666667,42.9833333333
Floyd Klipple Dam,A,Chemung,Tr-Owasco Lake,9,0,9,1966,-76.5216666667,42.765
Salmon Creek Sportsman Club Dam,A,Chemung,Tr-Salmon Creek,10,0,0,1972,-76.5688888889,42.7569444444
William Meyer Pond Dam,D,Genesee,Tr-Wiscoy Creek,20,0,63,0,-78.1447222222,42.6055555556
Henry Becker Pond Dam,A,Genesee,Tr-East Koy Creek,27,1000,23,1973,-78.2416666667,42.68
Wethersfield Boy Scouts Dam,A,Genesee,Tr-East Coy Creek,12,0,2,1972,-78.2416666667,42.675
Ray Penhollow Dam,A,Genesee,Tr-Elm Creek,17,0,2,1977,-78.175,42.5158333333
Camp Weona Dam,A,Genesee,East Koy Creek,11,350,12,1986,-78.2441666667,42.6963888889
Camp Cherith Dam,B,Genesee,,10,225,0,0,-78.0036111111,42.5666666667
Hume Dam,A,Genesee,Cold Creek,4,110,2,1832,-78.1377777778,42.4727777778
Henry W Sarton Dam,D,Genesee,Sixtown Creek,0,97,0,1820,-78.2013888889,42.4677777778
Caneadea Dam,C,Genesee,Caneadea Creek,140,625,578,1929,-78.1833333333,42.38
East Rushford Dam,D,Genesee,Caneadea Creek,20,160,0,1831,-78.2225,42.3836111111
Jonny Mills Dam,D,Genesee,Angelica Creek,12,120,0,1890,-78.0327777778,42.3125
Lake Carmel Dam,C,Lower Hudson,Middle Branch Croton River,25,475,240,1930,-73.6622222222,41.4555555556
Putnam Lake Dam,C,Lower Hudson,Bog Brook,24,295,232,1931,-73.5433333333,41.4575
Hefferman Dam,D,Lower Hudson,Michael Brook,11,240,6,1934,-73.6722222222,41.4272222222
Lake Lincolndale Dam,C,Lower Hudson,Tr-Plum Brook,22,580,22,1935,-73.7277777778,41.3397222222
Long Pond Dam,A,Lower Hudson,Tr-West Branch Reservoir,2,24,15,1936,-73.7286111111,41.4094444444
Goldens Bridge Dam,A,Lower Hudson,Tr-Croton River,16,300,7,1936,-73.6622222222,41.2947222222
Blue Spruce Dam,A,Lower Hudson,Tr-Boyd Corners Reservoir,10,200,10,1937,-73.7419444444,41.4661111111
Baxter Preserve Pond Dam,,,,,,,,,
None,Salem Center,0,395,105,0.84,73,10/14/2010,,
Upper Teakettle Spout Lake Dam,B,Lower Hudson,Tr-Plum Brook,11,250,8,1950,-73.7261111111,41.3566666667
Upper Lake Nimham Dam,A,Lower Hudson,Tr-Boyd Corners Reservoir,10,510,7,1950,-73.73,41.4755555556
Rohener Pond Dam,A,Lower Hudson,Tr-West Branch Reservoir,7,175,3,1951,-73.7083333333,41.4566666667
Upper Lake Road Dam,A,Lower Hudson,Tr-West Branch Reservoir,11,200,3,1952,-73.7347222222,41.4244444444
Stone House Farms Lake Dam,A,Lower Hudson,Tr-Croton River,11,300,2,1953,-73.665,41.34
Lake Casse Dam,B,Lower Hudson,Tr-Croton Falls Reservoir,14,690,30,1953,-73.7113888889,41.3830555556
William Hageman Marsh Dam,0,Lower Hudson,Tr-Croton River,7,240,2,1955,-73.7472222222,41.2677777778
Rihm & Kittel Dam,A,Lower Hudson,Tr-East Branch Croton River,20,300,7,1956,-73.6058333333,41.45
Lake Hawthorne Dam,A,Lower Hudson,Tr-W Br Croton River,18,125,8,1958,-73.6269444444,41.3116666667
Lounsbury Wildlife Pond #1 Dam,A,Lower Hudson,Tr-E Br Croton River,9,275,3,1960,-73.565,41.4383333333
Lounsbury Wildlife Pond #2 Dam,A,Lower Hudson,Tr-E Br Croton River,9,350,3,1960,-73.565,41.4383333333
Levine Lake Dam A,A,Lower Hudson,Tr-Horse Pond Brook,15,450,20,1961,-73.6933333333,41.4833333333
Levine Lake Dam B (dike),A,Lower Hudson,Tr-Horse Pond Brook,8,200,20,1961,-73.695,41.485
Wild Oaks Park Association Dam,0,Lower Hudson,Tr-Croton River,5,150,7,1963,-73.675,41.3041666667
M C Whatmore Lake Dam,B,Lower Hudson,Tr-Crook Brook,17,140,26,1964,-73.5833333333,41.3083333333
Lower Lake Nimham Dam,B,Lower Hudson,Bailey Brook,16,145,40,1968,-73.7327777778,41.4758333333
Ralph De Pew Wildlife Pond Dam,A,Oswego,Tr-Taughannock Creek,10,258,17,1955,-76.74,42.395
Connecticut Hill Pond #3 Dam,0,Chemung,Tr-Fishkill Creek,10,0,4,1954,-76.6625,42.3755555556
R C Bald Pond Dam,0,Chemung,Tr-Fishkill Creek,9,0,2,1958,-76.6083333333,42.4547222222
Charles Brayton Pond Dam,A,Susquehanna,Tr-Hinman Swamp,12,600,1,1962,-76.7291666667,42.3138888889
Don Makie #5 Pond #2 Dam,0,Susquehanna,Tr-Hulburt Hollow Creek,11,0,3,1963,-76.5338888889,42.3002777778
Wayne Makie Pond Dam,A,Chemung,Tr-Taughannock Creek,10,300,2,1965,-76.7011111111,42.4866666667
Campfire Girls Dam,0,Chemung,Tr-Enfield Creek,9,0,1,1965,-76.6472222222,42.4177777778
Charles Warren Dam,A,Chemung,Tr-Taughannock Creek,19,0,3,1971,-76.695,42.4341666667
Keith Bower Dam,A,Chemung,Tr-Taughannock Creek,14,300,1,1974,-76.6963888889,42.4725
Mecklinberg Dam,A,Chemung,Tr-Taughannock Creek,12,425,2,0,-76.7122222222,42.4547222222
R.h. Tremans Dam,A,Oswego,Enfield Creek,6.6,90,1.25,1939,-76.5605555556,42.3969444444
Dave Austin Pond Dam,A,Oswego,,12,0,1,0,-76.5833333333,42.3552777778
Waverly Lower Reservoir Dam,C,Chemung,Dry Brook,54,310,18,1880,-76.5566666667,42.0108333333
Donn Dick Faulkner Dam,A,Genesee,Tr-Little Genesee Creek,10,0,3,1961,-78.1258333333,42.1222222222
Dean & Nobles Pond Dam #2,A,Genesee,Tr-Knights Creek,10,0,3,1964,-78.0675,42.1216666667
Vincent Middaugh Dam,D,Genesee,Tr-Gordon Brook,0,0,12,0,-78.0633333333,42.1816666667
Palidar Marsh Dam,A,Genesee,Tr-White Creek,6,0,3,1964,-78.1811111111,42.245
William Serra Pond Dam,D,Genesee,Tr-Genesee River,11,0,5,0,-78.0525,42.2091666667
R J Strahn Jr Dam,D,Genesee,Tr-Van Campen Creek,15,0,9,1966,-78.0933333333,42.2286111111
Vincent Middaugh Dam,D,Genesee,Tr-Gordon Brook,37,0,37,0,-78.0638888889,42.185
Edward Serwacki Dam,A,Genesee,Tr-Van Campen Creek,9,0,1,1968,-78.1191666667,42.1752777778
Lawrence R Tait Dam,A,Genesee,Tr-Genesee River,9,0,1,1970,-78.0433333333,42.2183333333
David Williams Recreational Lake Dam,A,Genesee,Tr-Van Campen Creek,19,740,22,1971,-78.1716666667,42.1466666667
Kenneth Koster Dam,A,Genesee,Tr-Van Campen Creek,9,0,3,1971,-78.155,42.1252777778
Beaver Lake Dam,A,Allegheny,Honeoye Creek,7,180,32,0,-78.0066666667,42.0133333333
Fern Pond Lake Dam,A,Genesee,Tr-Van Campen Creek,24,300,1.1,0,-78.1819444444,42.1558333333
Cline Pond Dam,A,Unknown,,6,0,7,2002,-78.0575,42.2366666667
Kindall Mills Dam,0,Western Lake Ontario,Sandy Creek,5,100,0,0,-77.9958333333,43.2966666667
George Rath Pond Dam,A,Genesee,Tr-Lake Ontario,8,0,5,1953,-77.9611111111,43.3588888889
South Lake Dam (middle),B,Lower Hudson,Tr-Stump Pond Stream,12,290,6,1921,-73.705,41.5030555556
Drew Lake Dam,A,Lower Hudson,Stump Pond Stream,13,293,45,1835,-73.6730555556,41.5016666667
Browns Pond Dam,A,Lower Hudson,Tr-Middle Br Croton River,5,152,4,1855,-73.6686111111,41.5038888889
Turner Mill Pond Dam,A,Lower Hudson,Tr-Middle Br Croton River,5,255,2,0,-73.7033333333,41.52
Holmes Mill Dam,B,Lower Hudson,Tr-Middle Br Croton River,9,87,2,0,-73.6477777778,41.5233333333
Whaley Lake Dam,C,Lower Hudson,Whaley Lake Stream,19,330,259,1850,-73.6577777778,41.5713888889
Healy Mill Dam,A,Lower Hudson,Tr-Whaley Lake Stream,11,130,2,0,-73.7016666667,41.6033333333
Potter Dam,A,Long Island,Nissequogue River,3,125,2,1880,-73.2111111111,40.8583333333
Stony Brook Dam,A,Long Island,Stony Brook,12,220,4,1699,-73.1486111111,40.9144444444
Setauket Mill Dam,A,Long Island,Tr-Conscience Bay,8,300,4,1800,-73.1166666667,40.9472222222
West Lake Dam,A,Long Island,Tuthills Creek,7,225,4,1915,-73.0263888889,40.7627777778
Great Patchogue Lake Dam,A,Long Island,Patchogue River,11,1500,49,1917,-73.0211111111,40.7666666667
Canaan Lake Dam,A,Long Island,Patchogue River,7,500,22,1912,-73.0225,40.785
Millers Pond Dam,A,Long Island,Northeast Branch,7,510,19,1940,-73.1966666667,40.845
Fish Hatchery Dam,A,Long Island,Connetquot Brook,5,150,2,0,-73.1541666667,40.7638888889
Vail Pond Dam,A,Long Island,Nissequogue River,6,50,3,0,-73.2275,40.8469444444
Orowoc Lake Dam,A,Long Island,Orowoc Creek,8,125,4,1900,-73.2252777778,40.7283333333
Lower Winganhauppauge Lake Dam,A,Long Island,Champlin Creek,7,250,5,1870,-73.2033333333,40.7244444444
Upper Winganhauppauge Lake Dam,A,Long Island,Champlin Creek,6,250,3,1850,-73.2033333333,40.7266666667
Knapps Lake Dam,A,Long Island,Champlins Creek,5,210,17,1925,-73.2027777778,40.7305555556
West Brook Pond Dam,A,Long Island,Connequot River,7,300,13,1902,-73.1566666667,40.745
Mill Pond Dam,A,Long Island,Brown Creek,7,110,3,1955,-73.075,40.7430555556
Lotus Lake Dam,B,Long Island,Brown Creek,6,540,11,1980,-73.0675,40.7438888889
Upper Mill Pond Dam,A,Long Island,Connetquot Brook,6,0,4,0,-73.1505555556,40.75
Lower Mill Pond Dam,A,Long Island,Connetquot Brook,5,50,4,0,-73.1516666667,40.7475
Swan Lake Dam,A,Long Island,Swan River,5,1500,3,1878,-72.9944444444,40.7680555556
Robinson Pond Dam,A,Long Island,Mud Creek,12,350,4,1914,-72.9827777778,40.7633333333
Houghton College Pond Dam,A,Genesee,Tr-Genesee River,7,400,4,1947,-78.1694444444,42.4322222222
Victor Wilkins Pond Dam,A,Genesee,Tr-Angelica Creek,9,0,1,1949,-78.0636111111,42.2619444444
William Short Muskrat Marsh Dam,A,Genesee,Tr-Genesee River,7,0,3,1949,-78.0697222222,42.3058333333
Cecil Austin Dam,D,Genesee,Tr-Genesee River,9,0,2,1950,-78.0430555556,42.2741666667
E C Jones Marsh Dam,A,Chemung,Tr-Tuscarora Creek,10,1570,5,1953,-77.4702777778,42.2144444444
Hibert Rogers Wildlife Pond Dam,A,Chemung,Tr-Tuscarora Creek,6,0,6,1954,-77.4291666667,42.0402777778
R Fenton Marsh Dam,A,Chemung,Elk Creek,8,150,7,1954,-77.3486111111,42.0388888889
Tobin Northrup Marsh Dam,A,Chemung,Onawasa Creek,10,400,31,1956,-77.27,42.145
Lee Schultheis Dam,D,Chemung,Tr-Mud Creek,12,0,4,1958,-77.475,42.2330555556
Harley & Harvey Mayo Dam,A,Chemung,Tr-Tuscarora Creek,9,0,8,1958,-77.4486111111,42.1308333333
Mccaig-guiles Marsh Dam,A,Chemung,Stocking Creek,5,0,6,1960,-77.3302777778,42.2211111111
E Gurka Marsh Dam,A,Chemung,Canisteo River,9,0,9,1960,-77.3911111111,42.2383333333
Freeman Allen Dam,A,Chemung,Tr-Tracy Creek,12,0,3,1963,-77.4166666667,42.1647222222
Philip Koppold Pond Dam,A,Chemung,Tr-Tuscarora Creek,11,0,3,1964,-77.4166666667,42.0958333333
Clayton Herrington Pond Dams A & B,A,Chemung,Tr-Camp Brook,22,300,10,1964,-77.3516666667,42.0266666667
Ralph Northrup Dam,A,Chemung,Tr-Onawasa Creek,14,0,5,1964,-77.2761111111,42.1438888889
Cameron Pond Dam,A,Chemung,Tr-Canisteo River,23,400,14,1986,-77.4019444444,42.2377777778
Robert Burgess Dam,A,Chemung,Tr-Michigan Creek,15,0,7,1965,-77.2652777778,42.2091666667
Earl Fenton Dam,A,Chemung,Tr-N Branch Tuscarora Crk,13,0,4,1965,-77.3625,42.1263888889
Richard Lebbon Recreational Pond Dam,A,Chemung,Tr-Tuscarora Creek,10,170,10,1966,-77.4183333333,42.1616666667
Highlands Forge Lake Dam,A,Lake Champlain,Tr-Lake Champlain,8,76,134,1911,-73.4397222222,44.4163888889
Saw Mill Dam,A,Lake Champlain,Bouquet River,9,200,3,1890,-73.39,44.3666666667
Prescott Marsh Dam,D,Lake Champlain,Mud Brook,8,250,8,1951,-73.4958333333,44.47
Columbia Corporation Dam,A,Lower Hudson,Stony Kill,15,58,8,1940,-73.5233333333,42.4083333333
Beaver Mill Pond Dam,A,Lower Hudson,Valatie Kill,10,290,20,1925,-73.6716666667,42.4116666667
Mill #2 Concrete Dam,A,Lower Hudson,Valatie Kill,19,185,35,1908,-73.68,42.415
Kinderhook Lake Dam,A,Lower Hudson,Valatie Kill,18,230,350,1886,-73.6652777778,42.4419444444
Amawalk Lake North Dam,A,Lower Hudson,Tr-Plum Brook,11,165,15,1972,-73.7394444444,41.3269444444
Hudson Falls Reservoir Dam,A,Upper Hudson,None,6,200,2,0,-73.5852777778,43.3088888889
(223-0399),D,Upper Hudson,Tr-Bond Creek,0,0,0,0,-73.5622222222,43.3183333333
Keenan Intake Reservoir Dam,A,Upper Hudson,Clendon Brook,36,420,1,1916,-73.7416666667,43.3183333333
Lower Buttermilk Dam,A,Chemung,Buttermilk Creek,10,160,0,0,-76.5180555556,42.4180555556
Buttermilk Falls State Park Dam,A,Chemung,Buttermilk Creek,14,200,0,1899,-76.5138888889,42.4097222222
Enfield Falls Dam,0,Chemung,Fishkill Creek,25,0,0,1820,-76.5905555556,42.4011111111
Newfield Mills Dam,D,Oswego,West Branch Cayuga Inlet,0,90,0,1870,-76.5866666667,42.3633333333
Treman Lake Dam,B,Oswego,Buttermilk Creek,36,85,25,1930,-76.5133333333,42.4002777778
Enfield Glen Dam,A,Oswego,Enfield Creek,25,92,5,1933,-76.5933333333,42.4033333333
Ithaca Flood Control Dam,0,Chemung,Cliff Park Brook,15,0,0,1938,-76.5213888889,42.4422222222
Clarence Becker Dam,0,Chemung,Tr-Cayuga Outlet,9,0,1,1947,-76.52,42.2922222222
Enchanted Lake Dam,D,Allegheny,Cold Spring Creek,32,1500,362,0,-78.9,42.2083333333
Quaker Run Dam,B,Allegheny,Quaker Run,59,705,227,1930,-78.8769444444,42.0516666667
Newfane Electric Company Dam,D,Western Lake Ontario,Eighteenmile Creek,8,480,0,1894,-78.7005555556,43.2630555556
Newfane Dam,B,Western Lake Ontario,Eighteenmile Creek,14,270,5,1912,-78.7077777778,43.2786111111
Lockport Felt Company Dam,D,Western Lake Ontario,Eighteenmile Creek,8,280,0,1894,-78.7119444444,43.2827777778
Burt Dam,C,Western Lake Ontario,Eighteenmile Creek,55,328,95,1924,-78.7155555556,43.3136111111
William Ronson Wildlife Dam,0,Western Lake Ontario,Tr-Golden Creek Dam,5,0,3,0,-78.5258333333,43.3625
Morris Snell Dam,0,Western Lake Ontario,Tr-Lake Ontario,10,0,2,0,-78.5197222222,43.3630555556
Morris Snell Farm Pond Dam,D,Western Lake Ontario,Tr-Lake Ontario,13,0,13,0,-78.5188888889,43.37
Dickinson Farm Pond Dam,0,Western Lake Ontario,Tr-Lake Ontario,16,0,8,0,-78.6225,43.3586111111
Molyneaux Fish Creek Dam,A,Western Lake Ontario,Fish Creek,4,62,1,0,-78.5611111111,43.3588888889
Aikin Dam,D,Western Lake Ontario,Johnson Creek,6,250,0,1876,-78.525,43.2477777778
Royalton Dam,A,Western Lake Ontario,Tr-Erie Canal,10,30,0,1821,-78.5708333333,43.2030555556
Niagara Cnty Fed Of Cnsrvtn Clubs Dam,A,Western Lake Ontario,Tr-E Br Eighteenmile Creek,10,300,5,0,-78.5655555556,43.2077777778
Mill Pond Dam,A,Western Lake Ontario,Eighteenmile Creek,12,50,0,0,-78.6883333333,43.1786111111
Electric Smelting & Aluminum Co Dam,D,Western Lake Ontario,Eighteen Mile Creek,12,200,0,1884,-78.6986111111,43.1827777778
Cascade Wood Pulp Co Dam,D,Western Lake Ontario,Eighteenmile Creek,18,75,0,1880,-78.6947222222,43.1827777778
Westerman Dam,D,Western Lake Ontario,Eighteenmile Creek,10,70,0,1840,-78.6925,43.1827777778
Niagara Paper Mills Dam,D,Western Lake Ontario,Eighteenmile Creek,5,150,0,1880,-78.6894444444,43.1805555556
A Gioia & Sons Pond Dam,D,Western Lake Ontario,Tr-Lake Ontario,9,0,3,1957,-77.8061111111,43.3113888889
Harold Skutt Pond Dam,D,Western Lake Ontario,Tr-Yanty Creek,5,0,2,1958,-77.9825,43.3283333333
Arthur Sargent Pond Dam,A,Western Lake Ontario,Tr-East Creek,0,0,0.5,1959,-78.8083333333,43.3219444444
Harold Feil Pond Dam,A,Western Lake Ontario,Tr-Salmon Creek,16,0,4,1960,-77.8347222222,43.265
Joseph F Haberle Dam,0,Western Lake Ontario,Tr-Lake Ontario,10,0,2,1967,-77.9997222222,43.3577777778
One Man Dam,D,Genesee,Big Black Creek,11,175,0,1850,-77.8136111111,43.0847222222
Willings Dam,D,Oswego,Canandaigua Outlet,10,135,0,0,-77.0586111111,42.9661111111
Rathburn Dam,D,Oswego,Canandaigua Outlet,0,275,0,0,-77.0377777778,42.9530555556
Bulow Roller Mills Dam,D,Oswego,Canandaigua Outlet,4,75,0,0,-77.0138888889,42.9494444444
Whitney Dam,A,Oswego,Flint Creek,15,120,0,0,-77.0597222222,42.9575
Clarisville Dam,D,Oswego,Canandaigua Outlet,5,160,0,0,-77.1422222222,42.975
Domestic Reservoir Dam,D,Oswego,,12,0,0,1896,-77.0694444444,42.9275
Fire Reservoir Dam,A,Oswego,,15,0,0,1896,-77.0691666667,42.9280555556
Banit Reservoir Dam,D,Oswego,,10,140,0,1918,-77.07,42.9302777778
Newark Reservoir Dam,B,Oswego,Tr-Flint Creek,21,400,90,1919,-77.0966666667,42.935
Newark Reservoir # 2 Dam,B,Oswego,Tr-Flint Creek,28,2250,90,1919,-77.0933333333,42.9366666667
Clifton Springs Reservoir Dam,D,Oswego,Tr-Rocky Run,31,0,0,1892,-77.1283333333,42.9355555556
George Rickey Pond Dam,B,Lower Hudson,Tr-Hollow Brook,15,290,10,1966,-73.4736111111,42.4602777778
J H Boss Pond Dam,A,Housatonic,Tr-Baldwin Brook,14,400,1,1967,-73.43,42.3397222222
Flushing Rod & Gun Club Pond Dam,D,Housatonic,Tr-Cranse River,3,185,1,1967,-73.4758333333,42.2608333333
Taconic Acres Inc Rec Pond Dam,A,Lower Hudson,Tr-Stony Kill,17,450,13,1971,-73.4916666667,42.4466666667
Marchetto Pond Dam,A,Housatonic,Tr-Baldwin Brook,11,440,2,1972,-73.4408333333,42.3436111111
Berkshire Farm For Boys Dam,A,Lower Hudson,Tr-Queecy Lake,15,140,4,1973,-73.3911111111,42.4091666667
Korobchuk Pond Dam,A,Housatonic,Tr-Flat Brook,12,450,6,1979,-73.4375,42.3508333333
Charles Grassi Farm Pond Dam,0,Lower Hudson,Tr-Ham Brook,8,300,5,1952,-73.7,41.9833333333
Henry Jackson Pond Dam,0,Lower Hudson,Tr-Wappinger Creek,6,250,11,1953,-73.6422222222,41.95
W Barthole Marsh Dam,0,Lower Hudson,Tr-Shekomeko Creek,7,45,10,1953,-73.6444444444,41.9611111111
Mildred Levy Marsh Dam,0,Lower Hudson,Tr-Roeliff Jansen Kill,6,55,4,1953,-73.6880555556,41.9919444444
Sam Stornelli Dam,D,Central Lake Ontario,Tr-Sterling Creek,13,400,10,1973,-76.6530555556,43.2391666667
Howland Island Game Refuge Dam #1,0,Chemung,Tr-Seneca River,0,0,0,0,-76.6691666667,43.0669444444
Fox Ridge Dam,A,Oswego,None,0,0,0,0,-76.6866666667,43.055
Raymond Benz Pond Dam,D,Lake Erie,Tr-Eighteenmile Creek,10,0,0,0,-78.7952777778,42.7130555556
Clarence Winter Pond Dam,A,Lake Erie,Tr-Jennings Creek,0,0,3,0,-78.8391666667,42.5836111111
Jack Fox Pond Dam,D,Lake Erie,Tr-Neuman Creek,10,0,2,0,-78.7597222222,42.7236111111
Clarence Winter Lake Dam,A,Lake Erie,Jennings Creek,27,630,49,1971,-78.8336111111,42.5822222222
Cattaraugus Creek Dam In Gowanda,D,Lake Erie,Cattaraugus Creek,9,0,46,1916,-78.9275,42.4605555556
Gowanda Village Reservoir Dam,A,Lake Erie,Cattaraugus Creek,8,0,0,0,-78.9216666667,42.4422222222
Brown Milling Co Dam,D,Lake Erie,Cattaraugus Creek,14,0,0,0,-78.8313888889,42.3575
Woolen Mill Dam,D,Lake Erie,S.Branch Cattaraugus Creek,5,0,0,0,-78.8375,42.3538888889
Cattaraugus Village Reservoir Dam,A,Lake Erie,,10,0,0,1896,-78.8744444444,42.3316666667
Point Peter Brook Dam,A,Lake Erie,Point Peter Brook,22,250,3,1936,-78.9216666667,42.4422222222
Metcalf Brook Dam,D,Lake Erie,Metcalf Brook,7,0,1,0,-78.9552777778,42.4686111111
Cappella Bros Farm Pond Dam,0,Lake Erie,Tr-Grannis Brook,13,0,1,0,-78.9122222222,42.4686111111
H Tigler Wildlife Dam,A,Lake Erie,S Branch Cattaraugus Creek,7,0,10,0,-78.8136111111,42.3944444444
Butzer Bros Farm Pond Dam,A,Lake Erie,Tr-Cattaragus Creek,11,0,1,0,-78.8272222222,42.48
Raymond Ray Wildlife Dam,A,Allegheny,Tr-Mud Creek,10,0,7,0,-78.8666666667,42.2666666667
Ed Foster Farm Pond Dam,A,Lake Erie,Tr-Clear Creek,13,250,1,0,-78.8725,42.4677777778
Richard Ross Farm Pond Dam,A,Lake Erie,Tr-Cattaraugus Creek,0,300,3,0,-78.8733333333,42.4477777778
Samuel Neal Farm Pond Dam,A,Lake Erie,Tr-Clear Creek,10,0,1,0,-78.8311111111,42.4805555556
L Hancock Wildlife Pond Dam #2,A,Allegheny,Tr-Conewango Creek,9,450,8,1953,-78.9972222222,42.3847222222
L Hancock Wildlife Pond Dam #1,A,Allegheny,Tr-Conewango Creek,6,0,8,0,-78.9930555556,42.3911111111
Ward Hurd Wildlife Pond Dam,A,Allegheny,Tr-Conewango Creek,5,0,3,0,-78.9986111111,42.3833333333
Henry Wilkins Wildlife Pond D Dam,A,Allegheny,Tr-Little Valley Creek,7,0,4,0,-78.8055555556,42.2888888889
Brunfield Wildlife Pond Dam,A,Lake Erie,Tr-Cattaraugus Creek,8,0,6,0,-78.9883333333,42.46
Henry Wilkins Wildlife Pond #2 Dam,A,Allegheny,Tr-Little Valley Creek,8,230,7,1956,-78.8016666667,42.2905555556
Lahvis & Huch Wildlife Dam,A,Allegheny,Tr-Johnson Creek,6,285,4,1956,-78.9555555556,42.3958333333
James Eddy Wildlife Pond Dam,A,Lake Erie,Tr-Mansfield Creek,7,0,7,0,-78.7694444444,42.3375
Herman Gabel Wildlife Dam #1,A,Allegheny,Tr-Johnson Creek,6,0,3,0,-78.9666666667,42.3944444444
Old Chatham Dam,B,Lower Hudson,Tr-Kinderhook Creek,10,164,1,0,-73.5608333333,42.4405555556
Swartz Farm Pond Dam,A,Lower Hudson,Tr-Muitzes Kill,11,150,1,1949,-73.6875,42.4972222222
Old Chatham Fish Pond Dam,A,Lower Hudson,Tr-Kinderhook Creek,6,36,3,1949,-73.5336111111,42.4491666667
Norman Stansfield Farm Pond Dam,A,Lower Hudson,Tr-Kinderhook Creek,15,350,1,1953,-73.6916666667,42.4241666667
Marian Sarazen Pond Dam,A,Lower Hudson,Tr-North Creek,10,850,7,1957,-73.6433333333,42.2916666667
Peter Nalen Pond Dam,A,Lower Hudson,Tr-Stuyvesant Brook,16,340,1,1957,-73.7138888889,42.4191666667
R W Weber Wildlife Marsh Dam,A,Lower Hudson,Tr-Stony Kill,9,175,9,1958,-73.5041666667,42.45
N Drahos Wildlife Marsh Dam,A,Lower Hudson,Valatie Kill,6,720,4,1959,-73.6291666667,42.4916666667
Steinkill Realty Corp Dam,A,Lower Hudson,Stony Kill,5,130,4,1962,-73.575,42.3794444444
Paul Merwin Farm Pond Dam,A,Lower Hudson,Tr-Kinderhook Creek,16,425,2,1963,-73.6316666667,42.3966666667
A M Entenman Pond Dam,D,Lower Hudson,Tr-Kinderhook Creek,0,0,1,0,-73.5638888889,42.4380555556
Mccagg Dam,A,Lower Hudson,Widows Creek,24,80,11,1965,-73.7216666667,42.3166666667
George Gillen Farm Pond Dam,A,Lower Hudson,Tr-Green Brook,8,600,6,1965,-73.5075,42.4711111111
Mason Farm Pond Dam,B,Lower Hudson,Tr-Stony Kill,15,383,3,1965,-73.5158333333,42.4463888889
Tuttle Pond Dams A&b,A,Lower Hudson,Tr-Fitting Creek,14,520,3,1966,-73.6722222222,42.3608333333
Elsie K Powell House Inc Pond Dam,A,Lower Hudson,Tr-Kinderhook Creek,10,700,1,1966,-73.5772222222,42.4319444444
Devoe Bird Club Wildlife Marsh Dam,A,Lower Hudson,Tr-Kinderhook Creek,6,625,4,1966,-73.5655555556,42.4305555556
Esther Tuttle Wildlife Marsh Dam,A,Lower Hudson,Tr-Fitting Creek,8,1000,16,1967,-73.6777777778,42.3686111111
Tower & Scafford Wildlife Marsh Dam,A,Lower Hudson,Tr-Punsit Creek,17,340,2,1967,-73.5566666667,42.3172222222
Earl Kern Wildlife Marsh Dam,0,Lower Hudson,Tr-North Creek,12,225,1,1966,-73.6027777778,42.3013888889
Barrow Farm Pond #2 Dam,A,Lower Hudson,Tr-Kinderhook Creek,14,500,1,1967,-73.7402777778,42.3355555556
